a_id,u_id,a_street,a_city,a_state,a_zipcode,a_country
1,1,9353 Smith Walks,New Cesarfurt,New Hampshire,62651,Madagascar
2,2,165 Joshua Glens Suite 446,Port Amandaside,Mississippi,90735,Bahrain
3,2,937 Alexis Spur Suite 391,New Stephen,North Carolina,67674,Panama
4,3,699 Mcneil Pines Apt. 904,Timothyberg,New Mexico,14218,Falkland Islands (Malvinas)
5,3,246 Benjamin Corners Suite 424,East Marie,Tennessee,30173,Nauru
6,4,83391 Theresa Rue Suite 062,East Zachary,North Carolina,06972,Rwanda
7,4,21010 Jerry Alley,North Heatherfurt,New Jersey,57382,Hong Kong
8,5,08987 Martinez Plaza,Port Kennethstad,Missouri,12682,France
9,6,384 Santos Row,New Williamton,New Mexico,36724,Italy
10,6,54695 Austin Flat,South Maryfurt,Idaho,00960,Heard Island and McDonald Islands
11,7,9671 Smith Spurs Apt. 666,Adamsland,Alabama,85344,India
12,7,1134 Lindsey Plains Suite 169,Kelseyfort,Arizona,69024,Nicaragua
13,8,8366 Kelly Divide,Fergusonshire,Oregon,82005,Iraq
14,8,9708 Amber Point,South Allisonfort,South Carolina,10023,Haiti
15,9,9625 Anthony Port,Mosleytown,Vermont,78449,Dominica
16,9,12657 Omar Hollow,New Melissashire,Mississippi,18746,Wallis and Futuna
17,10,5585 Steven Motorway,Janiceberg,New York,39402,Hungary
18,10,18824 Charlotte Ramp,Casechester,Louisiana,23704,Central African Republic
19,11,758 Shannon Valleys,Jenniferstad,Louisiana,17788,Bosnia and Herzegovina
20,11,457 Luis Tunnel Apt. 092,Port Molly,New York,00508,Russian Federation
21,12,016 Sara Junctions,Hillton,New Jersey,23003,Croatia
22,12,7282 Clay Turnpike,Adamland,New York,68680,Pakistan
23,13,47312 Jones Plains,Adamland,Arkansas,46563,Western Sahara
24,14,19509 Megan Valley,Port Dianemouth,Idaho,56521,Belgium
25,14,537 Lori Dale,North Antonio,California,56886,Nauru
26,15,007 Escobar Village Apt. 894,Hollybury,Tennessee,18962,South Georgia and the South Sandwich Islands
27,16,9893 Cooper Ranch Suite 471,Huffland,South Carolina,94997,Malaysia
28,17,3481 Rachel Stream,North Jonathanton,Georgia,46611,Singapore
29,17,21743 Kim Pine Apt. 526,South Michelleside,Nevada,05602,Samoa
30,18,3983 Macdonald Plains Apt. 842,Laurenfurt,South Dakota,39549,Iraq
31,19,055 Sean Mills,Janetfurt,Mississippi,59350,Niger
32,20,1562 Anne Stream Apt. 908,Rachelmouth,Connecticut,06072,Lithuania
33,21,091 Cory Corner Apt. 786,New Valerietown,Georgia,43562,Sri Lanka
34,22,760 Gary Burg Suite 953,Lisaview,Vermont,11400,Pitcairn Islands
35,23,12275 Wiggins Circle,East Michelleton,Colorado,42379,Bouvet Island (Bouvetoya)
36,24,25947 Johnson Haven Apt. 717,Port David,Rhode Island,72688,Australia
37,25,950 Elizabeth Village Apt. 006,Susanborough,Maryland,95052,American Samoa
38,26,910 Bailey Bypass,South Brandon,South Carolina,92084,Senegal
39,27,18491 Veronica Junction Apt. 855,West Gina,Michigan,19704,Aruba
