id,user_id,street_address,city,state,postal_code,country,is_default
1,1,1369 Andrews Squares Suite 064,New Michelleton,Rhode Island,98172,Luxembourg,True
2,2,95339 Byrd Stravenue Apt. 104,Johnsonstad,Washington,17725,Bermuda,True
3,3,6232 Schmidt Groves Apt. 474,Lindamouth,California,18950,Saudi Arabia,True
4,4,685 Krystal Bridge,Amandamouth,Mississippi,88689,San Marino,True
5,5,651 Thomas River Suite 931,Blankenshipport,Tennessee,54017,Brazil,True
6,6,04711 Paige Dale,Chavezside,Nebraska,77484,Samoa,True
7,7,1796 Johnson Land,South Sean,Kansas,48038,Bolivia,True
8,8,506 Lopez Crossing Suite 139,North Kristinbury,Florida,74501,Costa Rica,True
9,9,393 Mark Drive,West Micheleberg,Florida,71308,El Salvador,True
10,10,02053 Smith Greens,East Judyhaven,Delaware,98236,Bahrain,True
11,11,5891 Gordon Ridges Apt. 847,North Yolandafurt,Nevada,90429,Botswana,True
12,12,711 Franklin Circles Apt. 499,Oscarhaven,Maine,59970,Madagascar,True
13,13,18367 Robert Views Suite 661,Ronaldview,Mississippi,20507,Poland,True
14,14,11161 Cain Point Apt. 988,Elizabethchester,Minnesota,87708,Wallis and Futuna,True
15,15,049 Bell Ports Apt. 273,West Meganstad,Delaware,37013,Montserrat,True
16,16,8998 Chelsea Shoals,Anthonyview,Vermont,41000,Uruguay,True
17,17,0229 Jones Streets Apt. 183,Barnesmouth,Hawaii,49004,Georgia,True
18,18,910 Eric River Apt. 147,Tuckermouth,Nebraska,36305,Cuba,True
19,19,6149 Rose Inlet,East Randallton,Alabama,27295,Gabon,True
20,20,44510 Burgess Extensions,South Amanda,Iowa,66071,Monaco,True
21,21,60607 Michelle Ports Suite 966,Dariustown,Massachusetts,23028,Spain,True
22,22,516 John Radial Suite 816,Juliebury,Michigan,22538,Belarus,True
23,23,835 Luna Viaduct,East Curtis,Kentucky,26357,China,True
24,24,127 Webster Trace,Maldonadoshire,Tennessee,83770,Nigeria,True
25,25,527 Taylor Roads Suite 490,Williamport,New Jersey,59734,Argentina,True
26,26,4119 Ford Plaza,South Reginashire,Tennessee,25173,Gibraltar,True
27,27,207 Lisa Villages Suite 182,East Jasminemouth,North Dakota,69018,New Zealand,True
28,28,5466 Shelton Center,Cameronville,Oklahoma,89417,Hungary,True
29,29,9251 Sabrina Inlet Suite 291,Angelicamouth,Florida,88334,Reunion,True
30,30,685 Michael Falls,West Stacey,New York,25667,Czech Republic,True
31,31,14188 Ebony Wells,New Nicholas,Hawaii,24204,Switzerland,True
32,32,706 Rhodes Freeway,Bishopmouth,Iowa,70494,Dominican Republic,True
33,33,3597 Hammond Tunnel Suite 886,Port James,Rhode Island,18641,Tunisia,True
34,34,75818 Justin Track Apt. 478,Port Samuel,Iowa,59631,Turks and Caicos Islands,True
35,35,60685 Paul Common Suite 305,Port Jennifermouth,Georgia,18536,Argentina,True
36,36,2779 Rebecca Brook Suite 328,Rodriguezport,Kansas,39973,British Virgin Islands,True
37,37,69711 Carlson Brook,Lake Douglas,Nevada,00706,Nicaragua,True
38,38,96218 Jones Pine Apt. 670,Zavalaview,West Virginia,02629,Guinea-Bissau,True
39,39,3195 Bradley Plains,Lisaburgh,Wyoming,90243,Kyrgyz Republic,True
40,40,221 Johnson Flats Apt. 305,Zacharyside,New Mexico,33703,Argentina,True
41,41,5054 Lauren Mews,Paulfurt,Michigan,24987,Luxembourg,True
42,42,8416 Ryan View Apt. 845,North Markport,Maryland,58948,Netherlands,True
43,43,75705 Hill Turnpike Apt. 165,North Douglas,Rhode Island,89379,Slovenia,True
44,44,21355 Herring Bypass Apt. 755,Hinesshire,Florida,69898,Haiti,True
45,45,4310 Victor Loaf Apt. 447,New Justin,New York,26738,British Virgin Islands,True
46,46,72715 Mckinney Plaza,Patriciaburgh,Virginia,93504,Vanuatu,True
47,47,8313 Joel Park,West Angelastad,New Jersey,72806,Bulgaria,True
48,48,46786 Morrow Cliffs,West Dawn,New Hampshire,61558,Pitcairn Islands,True
49,49,89226 Marie Path Apt. 422,Sarahbury,Minnesota,68513,Ukraine,True
50,50,43842 Mendez Course Apt. 992,Lake Claudia,Rhode Island,44753,Tajikistan,True
